Ward,Alderman,Population Estimate,Mean Household Income,White,Black,Asian,Hispanic or Latino
1,Moreno,55705,108482,0.547,0.05,0.04,0.337
2,Hopkins,55855,130287,0.731,0.076,0.07,0.099
3,Dowell,51207,33968,0.212,0.616,0.104,0.045
4,King,53079,93453,0.221,0.61,0.096,0.044
5,Hairston,45853,65738,0.225,0.64,0.067,0.04
6,Sawyer,48598,43443,0.01,0.959,0.001,0.019
7,Mitchell,42986,43620,0.025,0.908,0.001,0.053
8,Harris,47657,49445,0.013,0.964,0.003,0.012
9,Beale,50486,49923,0.022,0.918,0.002,0.048
10,Garza,53239,53209,0.16,0.217,0.002,0.618
11,Thompson,55736,64613,0.336,0.064,0.358,0.231
12,Cardenas,60034,49002,0.083,0.105,0.087,0.716
13,Quinn,56232,70848,0.283,0.026,0.005,0.678
14,Burke,54089,57542,0.13,0.011,0.028,0.829
15,Lopez,40071,47111,0.047,0.191,0.019,0.738
16,Foulkes,46888,39554,0.016,0.596,0.003,0.376
17,Moore,48765,42750,0.023,0.764,0.003,0.188
18,Curtis,55611,69357,0.091,0.542,0.006,0.338
19,O'Shea,52223,107578,0.657,0.251,0.012,0.062
20,Cochran,46994,36129,0.061,0.757,0.018,0.148
21,Brookins,50554,50713,0.006,0.966,0.002,0.011
22,Munoz,51640,46760,0.046,0.059,0.004,0.885
23,Tabares,56821,36416,0.273,0.015,0.011,0.697
24,Scott,46364,38261,0.029,0.834,0.003,0.125
25,Solis,53462,76363,0.252,0.09,0.157,0.484
26,Maldonado,49352,65731,0.237,0.114,0.015,0.616
27,Burnett,62715,101825,0.352,0.43,0.054,0.141
28,Ervin,55722,53592,0.123,0.715,0.049,0.1
29,Taliaferro,57860,57270,0.139,0.637,0.011,0.204
30,Reboyras,55633,66067,0.273,0.017,0.033,0.664
31,Santiago,52147,60740,0.179,0.02,0.018,0.767
32,Waguespack,58091,162593,0.723,0.026,0.048,0.172
33,Mell,56914,77773,0.361,0.041,0.093,0.476
34,Austin,49175,56070,0.015,0.949,0.002,0.015
35,Ramirez-Rosa,52009,56070,0.245,0.04,0.062,0.636
36,Villegas,51771,66687,0.225,0.03,0.036,0.7
37,Mitts,51916,45522,0.018,0.69,0.004,0.272
38,Sposato,58872,78922,0.641,0.017,0.048,0.278
39,Laurino,58160,93153,0.525,0.024,0.177,0.241
40,O'Connor,57582,82464,0.508,0.065,0.163,0.222
41,Napolitano,58195,68887,0.892,0.01,0.042,0.121
42,Reilly,66220,157355,0.687,0.045,0.186,0.058
43,Smith,55680,154859,0.802,0.046,0.066,0.055
44,Tunney,58580,121687,0.806,0.031,0.069,0.067
45,Arena,58053,88762,0.618,0.013,0.08,0.263
46,Cappleman,53366,76810,0.581,0.18,0.077,0.13
47,Pawar,61367,130370,0.761,0.024,0.058,0.12
48,Osterman,49517,73574,0.538,0.149,0.125,0.156
49,Moore,53321,57799,0.414,0.273,0.06,0.217
50,Silverstein,59669,72854,0.449,0.122,0.22,0.167